graph_size,source,checkpoint,num_samples,seed,passenger_orders_total,cargo_orders_total,passenger_served_total,cargo_served_total,passenger_on_time_total,cargo_on_time_total,passenger_late_total,cargo_late_total,passenger_service_rate,cargo_service_rate,passenger_delay_rate,cargo_delay_rate,passenger_delay_rate_over_total,cargo_delay_rate_over_total,passenger_on_time_rate,cargo_on_time_rate,overall_service_rate,overall_delay_rate,note
25,model_eval,outputs_cmp/n25_ours_rw1_fixed/pomo_n25_optimized/model_best_service.pt,500,99999,7404.0,5096.0,6081.0,4308.0,6081.0,3459.0,0.0,849.0,0.8213128038897893,0.8453689167974883,0.0,0.19707520891364902,0.0,0.16660125588697017,1.0,0.802924791086351,0.83112,0.08172105111175282,
50,model_eval,outputs_cmp/n50_ours_rw1/pomo_n50_optimized/model_best_service.pt,500,99999,14975.0,10025.0,12796.0,8138.0,12796.0,6724.0,0.0,1414.0,0.8544908180300501,0.8117705735660848,0.0,0.1737527648070779,0.0,0.14104738154613466,1.0,0.8262472351929221,0.83736,0.06754561956625585,
100,model_eval,outputs_cmp/n100_ours_rw1_fixed/pomo_n100_optimized/model_best_service.pt,500,99999,30049.0,19951.0,25879.0,16417.0,25879.0,14547.0,0.0,1870.0,0.8612266631169091,0.8228660217532956,0.0,0.11390631662301273,0.0,0.09372963761214977,1.0,0.8860936833769872,0.84592,0.04421221864951769,
200,model_eval,outputs_n200_phaseC_rw1_e10/pomo_n200_optimized/model_best_service.pt,500,99999,60047.0,39953.0,53441.0,32913.0,53441.0,22174.0,0.0,10739.0,0.8899861774942961,0.8237929567241509,0.0,0.32628444687509495,0.0,0.2687908292243386,1.0,0.673715553124905,0.86354,0.12436019176876578,
